                image name                                output	  accuracy                               time
/home/leonardo/Desktop/readIT_livetest/facebook.png         Fjtbbddk  55.45240887239771         %          1560548212.6489475  
/home/leonardo/Desktop/readIT_livetest/data.png             OAML      61.80042254910606         %          1560548227.1294322  
/home/leonardo/Desktop/readIT_livetest/dell.png             DbQ1      28.612255984127536        %          1560548241.6694467  
/home/leonardo/Desktop/readIT_livetest/dey.png              DEY       93.32431306733757         %          1560548250.7640688  
/opt/lampp/htdocs/readIT1.0/media/1560765916.png            G         78.34005382136296         %          1560765925.4750183  
/opt/lampp/htdocs/readIT1.0/media/1560768273.png            HP        98.95188941332383         %          1560768274.0122652  
/opt/lampp/htdocs/readIT1.0/media/1560771758.png            E         43.65964960869573         %          1560771767.8410046  
/opt/lampp/htdocs/readIT1.0/media/1560771841.png            J1S       58.443381494585935        %          1560771842.5486045  
/opt/lampp/htdocs/readIT1.0/media/1560771863.jpg            S         10.46830861918714         %          1560771864.036388   
/home/leonardo/Desktop/readIT_livetest/dey.png              DEY       93.32431306733757         %          1560772039.544898   
/home/leonardo/Desktop/readIT_livetest/dey.png              DEY       93.32431306733757         %          1560772076.4351115  
/home/leonardo/Desktop/readIT_livetest/dey.png              DEY       93.32431306733781         %          1561976767.2299144  
/home/leonardo/Desktop/readIT_livetest/dey.png              DEY       93.32431306733781         %          1561976783.7721403  
/home/leonardo/Desktop/readIT_livetest/dey.png              DEY       93.32431306733781         %          1561976850.5613914  
/home/leonardo/Desktop/readIT_livetest/dey.png              DEY       93.32431306733781         %          1561976878.272141   
/home/leonardo/Desktop/readIT_livetest/dey.png              DEY       93.32431306733781         %          1561976915.5238597  
/opt/lampp/htdocs/readIT1.0/media/1561976941.png            ctb1ddb   23.246416723277566        %          1561976941.8354795  
/opt/lampp/htdocs/readIT1.0/media/1561976969.png            SHAsWLATA 68.45832929078937         %          1561976970.3503888  
/opt/lampp/htdocs/readIT1.0/media/1561976989.png            OAML      61.800422549105974        %          1561976989.8792043  
/opt/lampp/htdocs/readIT1.0/media/1561977065.png            SOURAv    71.7208643884176          %          1561977066.534171   
/opt/lampp/htdocs/readIT1.0/media/1561977081.png            Aphdhb    68.2967238817676          %          1561977081.8965085  
/home/leonardo/Desktop/readIT_livetest/dey.png              DEY       93.32431306733757         %          1574548753.6053877  
/home/leonardo/Desktop/readIT_livetest/dey.png              DEY       93.32431306733757         %          1574548855.983737   
/home/leonardo/Desktop/readIT_livetest/trisha.png           TjQjAjGjPjh49.54035915720995         %          1575790984.7298622  
/home/leonardo/Desktop/readIT_livetest/trisha.png           TuSPN     53.84332919518507         %          1575801411.2999222  
/home/leonardo/Desktop/readIT_livetest/trisha.png           TuSPN     53.84332919518507         %          1575801433.4902272  
/home/leonardo/Desktop/readIT_livetest/trisha.png           TuSPN     53.84332919518507         %          1575801451.9667723  
/home/leonardo/Desktop/readIT_livetest/trisha.png           TuSPN     53.84332919518507         %          1575801559.7509441  
/home/leonardo/Desktop/readIT_livetest/trisha.png           TuSPN     53.84332919518507         %          1575801587.1343806  
/home/leonardo/Desktop/readIT_livetest/trisha.png           TuNSPN    61.04231482037733         %          1575801637.2146206  
/home/leonardo/Desktop/readIT_livetest/trisha.png           TuNSPN    61.04231482037733         %          1575801673.9473975  
/home/leonardo/Desktop/readIT_livetest/gmail.png            GMjdM     34.28875004219397         %          1575801811.9255493  
/home/leonardo/Desktop/readIT_livetest/text.jpg             TExTxOO   60.92073275228001         %          1575801854.4731426  
/home/leonardo/Desktop/readIT_livetest/welcome.jpg          mdtdmd    16.859406544886834        %          1575801891.4283445  
/home/leonardo/Desktop/readIT_livetest/welcome.jpg          mdtdmd    16.859406544886834        %          1575801988.781911   
/home/leonardo/Desktop/readIT_livetest/welcome.jpg          mdtdmd    16.859406544886834        %          1575802057.6398253  
/home/leonardo/Desktop/readIT_livetest/welcome.jpg          mdtdmd    16.859406544886834        %          1575802144.1172307  
/home/leonardo/Desktop/readIT_livetest/welcome.jpg          mdtdmd    16.859406544886834        %          1575802454.7032452  
/home/leonardo/Desktop/readIT_livetest/trisha.png           TuNSPN    61.04231482037733         %          1575802639.6059697  
/home/leonardo/Desktop/readIT_livetest/hp.png               HP        98.7297905933076          %          1575802878.114502   
/home/leonardo/Desktop/readIT_livetest/ROAD.png             R3m3      23.990582568931693        %          1575802922.753789   
/home/leonardo/Desktop/readIT_livetest/biswas.png           amshAs    68.90490315277098         %          1575802990.2063057  
/home/leonardo/Desktop/readIT_livetest/S.jpg                s         38.57134823525934         %          1575803244.7660015  
/home/leonardo/Desktop/readIT_livetest/Google.png           ptDdWh    26.599546632933066        %          1575803289.7551858  
/home/leonardo/Desktop/readIT_livetest/Google.png           ptDdWh    26.599546632933066        %          1575803369.411444   
/home/leonardo/Desktop/readIT_livetest/confess.png          cbbqdmm   18.6061841411855          %          1575803877.0243928  
/home/leonardo/Desktop/readIT_livetest/ROAD.png             R3m3      23.990582568931693        %          1575804082.5170307  
/home/leonardo/Desktop/readIT_livetest/ROAD.png             R3m3      23.990582568931693        %          1575805431.2043955  
/home/leonardo/Desktop/readIT_livetest/ROAD.png             nQAQ      44.60002930654668         %          1575805463.3190398  
/home/leonardo/Desktop/readIT_livetest/trisha.png           8QX6VH    19.568930642281924        %          1575805489.279046   
/home/leonardo/Desktop/readIT_livetest/trisha.png           8QX6VH    19.568930642281924        %          1575805644.5659852  
/home/leonardo/Desktop/readIT_livetest/trisha.png           TuNSPN    61.04231482037733         %          1575805655.9665592  
/home/leonardo/Desktop/readIT_livetest/trisha.png           TuNSPN    61.04231482037733         %          1575805700.589675   
/home/leonardo/Desktop/readIT_livetest/dell.png             DbMM      16.707395213036417        %          1575805718.2802217  
/home/leonardo/Desktop/readIT_livetest/dutta.png            Dunn      62.198210027666605        %          1575805771.0652926  
/home/leonardo/Desktop/readIT_livetest/golden.jpg           Gdzddd    53.4121997657345          %          1575805854.5960686  
/home/leonardo/Desktop/readIT_livetest/mindtree1.jpg        Vibdtkbb  33.76274738589024         %          1575806023.2221491  
/home/leonardo/Desktop/readIT_livetest/shaswata.png         sHnshATA  44.83392940039714         %          1575806305.0669932  
